id;name;lesson_time;lesson_type;notes;approved;lesson_to_user_id
1;Director dynamic Metal;2020-04-18T12:05:01;Money Market Account Keyboard invoice;payment Tennessee;false;2
2;Rustic Vietnam;2020-04-18T09:58:42;red haptic Up-sized;Facilitator Future-proofed;true;1
3;reboot;2020-04-18T07:03:01;incubate Soft;Tennessee multi-state;false;2
4;reintermediate static;2020-04-18T04:14:28;Focused infrastructures Cove;bottom-line sensor Mali;false;2
5;systemic connect;2020-04-18T06:42:33;Paraguay invoice quantify;Garden Vision-oriented;true;2
6;interfaces internet solution payment;2020-04-18T05:35:43;engineer Sleek Concrete Cheese;Fantastic Dynamic;true;2
7;Berkshire;2020-04-18T11:36:22;Investment Account salmon intuitive;Utah primary Avon;false;1
8;Borders Virgin Islands, British solid state;2020-04-18T17:50:00;radical;interface;false;1
9;deposit matrix SCSI;2020-04-18T15:55:22;Personal Loan Account;Ball backing up;true;1
10;benchmark Wooden;2020-04-18T07:11:01;Officer;Handcrafted bandwidth;true;1
